Taylor Heinicke
Jalen Hurts
Patrick Mahomes
Joe Burrow
Josh Allen
Daniel Jones
Aaron Rodgers
Jared Goff
Mac Jones
Mike White
Lamar Jackson
Trevor Lawrence
Tom Brady
Tua Tagovailoa
Jameis Winston
Dak Prescott
Davis Mills
Kyler Murray
Baker Mayfield
Justin Herbert
Brock Purdy
Derek Carr
Russell Wilson
Geno Smith
Kirk Cousins
Justin Fields
Matt Ryan
Ryan Tannehill
Deshaun Watson
Kenny Pickett
Matthew Stafford
Marcus Mariota
